"${ Servidor } : /g/collect?v=2&tid=G-BWE3Z3GKD7&gtm=2oe120&_p=77995994&_gaz=1&cid=527073485.1672956114&ul=pt-br&sr=1680x1050&_s=1&uid=&sid=1672956121&sct=1&seg=0&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&dr=https%3A%2F%2Fwww.netshoes.com.br%2F&dt=&en=page_view&_fv=1&_ss=2&up.userId=-1,311",2,156,115,198,198,198,115,198,0.000%,.01670,0.01,0.01
"${ Servidor } : /gtm.js-1,320",1,222,222,222,222,222,222,222,0.000%,4.50450,533.46,1.85
"${ Servidor } : /g/collect?v=2&tid=G-BWE3Z3GKD7&cid=527073485.1672956114&gtm=2oe120&aip=1-1,321",2,70,67,73,73,73,67,73,0.000%,.01667,0.01,0.01
"${ Servidor } : /ads/ga-audiences-1,316",2,144,80,209,209,209,80,209,0.000%,.01667,0.01,0.01
"${ Servidor } : /collect-1,322",2,20,13,27,27,27,13,27,0.000%,.01670,0.01,0.02
"${ Servidor } : /gtm.js-1,318",1,161,161,161,161,161,161,161,0.000%,6.21118,674.75,2.55
"${ Servidor } : /1/32cd0417b6-1,323",2,187,184,190,190,190,184,190,0.000%,.01671,0.01,0.02
"${ Servidor } : /ads/ga-audiences-1,317",2,76,75,78,78,78,75,78,0.000%,.01673,0.01,0.01
"${ Servidor } : /track/pageView-1,324",1,424,424,424,424,424,424,424,0.000%,2.35849,1.29,1.81
"${ Servidor } : /1/32cd0417b6-1,325",2,224,180,268,268,268,180,268,0.000%,.01668,0.01,0.02
"${ Servidor } : /canonical.html-1,328",2,47,26,68,68,68,26,68,0.000%,.01672,0.00,0.01
"${ Servidor } : /success.txt-1,332",2,17,15,20,20,20,15,20,0.000%,.01672,0.00,0.01
"${ Servidor } : /success.txt-1,333",2,17,14,20,20,20,14,20,0.000%,.01672,0.00,0.01
"${ Servidor } : /i18n/pixel/events.js-1,330",2,269,236,303,303,303,236,303,0.000%,.01669,0.04,0.01
"${ Servidor } : /search/generated/netshoes-br/loader.js-1,335",1,98,98,98,98,98,98,98,0.000%,10.20408,3.71,4.74
"${ Servidor } : /action/0-1,334",2,146,144,148,148,148,144,148,0.000%,.01668,0.01,0.01
"${ Servidor } : /static/netshoes-br/current.js-1,336",1,39,39,39,39,39,39,39,0.000%,25.64103,2800.13,11.69
"${ Servidor } : /1/32cd0417b6-1,337",2,185,180,190,190,190,180,190,0.000%,.01668,0.01,0.02
"${ Servidor } : /pagead/viewthroughconversion/1066460180/-1,338",2,241,113,369,369,369,113,369,0.000%,.01660,0.03,0.01
"${ Servidor } : /pagead/1p-user-list/1066460180/-1,346",2,70,68,73,73,73,68,73,0.000%,.01664,0.01,0.01
"${ Servidor } : /pagead/1p-user-list/1066460180/-1,347",2,72,68,77,77,77,68,77,0.000%,.01665,0.01,0.01
"${ Servidor } : /collect-1,348",2,16,13,19,19,19,13,19,0.000%,.01666,0.01,0.02
"${ Servidor } : /gtag/destination-1,349",1,143,143,143,143,143,143,143,0.000%,6.99301,544.92,2.98
"${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1220.PROD&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=16368&ck=0&s=19839d4e26cb47bf&ref=https://www.netshoes.com.br/recommendations-1,355",2,181,176,187,187,187,176,187,0.000%,.01666,0.01,0.02
"${ Servidor } : /__utm.gif-1,357",2,31,30,33,33,33,30,33,0.000%,.01661,0.01,0.01
"${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1220.PROD&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=16347&ck=0&s=19839d4e26cb47bf&ref=https://www.netshoes.com.br/recommendations-1,354",2,190,184,196,196,196,184,196,0.000%,.01659,0.01,0.02
"${ Servidor } : /api/v2/pixel-1,351",2,186,179,194,194,194,179,194,0.000%,.01659,0.02,0.02
"${ Servidor } : /box-5e66f98b4ee957db209dc6f63e3d59dd.html-1,362",1,145,145,145,145,145,145,145,0.000%,6.89655,11.65,3.58
"${ Servidor } : /box/GetInitialData-1,353",2,111,51,172,172,172,51,172,0.000%,.01655,0.03,0.01
"${ Servidor } : /frame-image-br/bg.png-1,363",1,112,112,112,112,112,112,112,0.000%,8.92857,4.50,4.13
"${ Servidor } : /g/collect?v=2&tid=G-BWE3Z3GKD7&gtm=2oe120&_p=1168956177&cid=527073485.1672956114&ul=pt-br&sr=1680x1050&_s=1&sid=1672956121&sct=1&seg=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2F&dt=Loja%20de%20Artigos%20Esportivos%20Online%20%7C%20Netshoes&en=microconversao_home&_c=1-1,356",2,96,72,121,121,121,72,121,0.000%,.01655,0.01,0.01
"${ Servidor } : /action/0-1,364",2,182,143,221,221,221,143,221,0.000%,.01655,0.01,0.01
"${ Servidor } : /recommendationByPage-1,367",2,58,51,65,65,65,51,65,0.000%,.01648,0.01,0.01
"${ Servidor } : /tags/v2?type=json-1,360",2,330,173,487,487,487,173,487,0.000%,.01646,0.00,0.01
"${ Servidor } : /uoltm.js-1,366",1,83,83,83,83,83,83,83,0.000%,12.04819,267.33,4.66
"${ Servidor } : /sessions/58506-1,370",2,276,245,307,307,307,245,307,0.000%,.01642,0.01,0.01
"${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1220.PROD&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=16644&ck=0&s=19839d4e26cb47bf&ref=https://www.netshoes.com.br/recommendations-1,361",2,188,185,192,192,192,185,192,0.000%,.01643,0.01,0.02
"${ Servidor } : /tags/v2?type=json-1,371",2,146,140,153,153,153,140,153,0.000%,.01636,0.01,0.01
"${ Servidor } : /g/collect?v=2&tid=G-BWE3Z3GKD7&gtm=2oe120&_p=878892062&cid=527073485.1672956114&ul=pt-br&sr=1680x1050&uid=&sid=1672956121&sct=1&seg=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dtop&dr=https%3A%2F%2Fwww.netshoes.com.br%2F&dt=&_s=1-1,372",2,72,71,74,74,74,71,74,0.000%,.01639,0.01,0.01
"${ Servidor } : /i/adsct-1,375",2,150,144,157,157,157,144,157,0.000%,.01638,0.01,0.01
"${ Servidor } : /datakeeper/acquireBrowserId-1,373",2,317,221,413,413,413,221,413,0.000%,.01627,0.01,0.01
"${ Servidor } : /datakeeper/acquireTestGroup-1,374",2,155,148,162,162,162,148,162,0.000%,.01630,0.01,0.01
"${ Servidor } : /mercurio.html-1,378",2,82,64,101,101,101,64,101,0.000%,.01624,0.01,0.01
"${ Servidor } : /adsid/integrator.js-1,376",2,174,115,234,234,234,115,234,0.000%,.01626,0.02,0.01
"${ Servidor } : /adsid/integrator.js-1,377",2,170,100,240,240,240,100,240,0.000%,.01628,0.01,0.01
"${ Servidor } : /setcookie.html-1,379",1,20,20,20,20,20,20,20,0.000%,50.00000,55.91,25.10
"${ Servidor } : /view/TT-10162-1/D6O2RQW9E8/track-1,380",2,174,154,194,194,194,154,194,0.000%,.01630,0.01,0.01
"${ Servidor } : /boomerang/CW5BG-SWTYZ-UMRD7-EZCHN-SGWTB-1,382",1,299,299,299,299,299,299,299,0.000%,3.34448,165.60,1.34
"${ Servidor } : /static/postmediator-1,384",2,52,40,65,65,65,40,65,0.000%,.01628,0.02,0.01
"${ Servidor } : /getconfig/sodar-1,388",2,187,98,276,276,276,98,276,0.000%,.01627,0.19,0.01
"${ Servidor } : /v5/recommend/all-1,385",2,425,395,455,455,455,395,455,0.000%,.01627,0.90,0.02
"${ Servidor } : /collect-1,395",2,48,31,65,65,65,31,65,0.000%,.01628,0.01,0.03
"${ Servidor } : /g/collect?v=2&tid=G-BWE3Z3GKD7&gtm=2oe120&_p=77995994&cid=527073485.1672956114&ul=pt-br&sr=1680x1050&_s=2&uid=&sid=1672956121&sct=1&seg=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&dr=https%3A%2F%2Fwww.netshoes.com.br%2F&dt=&en=scroll&epn.percent_scrolled=90-1,390",2,74,74,75,75,75,74,75,0.000%,.01627,0.01,0.01
"${ Servidor } : /collect-1,398",2,19,17,21,21,21,17,21,0.000%,.01628,0.01,0.02
"${ Servidor } : /collect-1,396",2,20,19,21,21,21,19,21,0.000%,.01628,0.01,0.02
"${ Servidor } : /track/pageView-1,393",1,169,169,169,169,169,169,169,0.000%,5.91716,3.22,4.24
"${ Servidor } : /gampad/ads-1,387",2,476,452,501,501,501,452,501,0.000%,.01627,0.37,0.04
