Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /Scripts/i/Freedom.min.js-960,1,588,588,588,0.00,0.000%,1.70068,1.86,0.68,1121.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?v=1&_v=j98&a=1748488580&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=1306x158&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667239846.1&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247509777&_u=AAECAEABSAAAiCAAI~&jid=&gjid=&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_slc=1&cd16=undefined&cd17=undefined&z=1783464901-965,1,80,80,80,0.00,0.000%,12.50000,7.60,14.48,623.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /114782.ct.js-967,1,90,90,90,0.00,100.000%,11.11111,16.59,0.00,1529.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /box/CheckActiveAccount-964,1,159,159,159,0.00,0.000%,6.28931,2.69,2.70,438.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bat.js-966,1,154,154,154,0.00,0.000%,6.49351,78.09,2.42,12314.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /js/loadbee_integration.js-968,1,156,156,156,0.00,0.000%,6.41026,71.36,2.52,11399.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /r/__utm.gif-969,1,64,64,64,0.00,0.000%,15.62500,9.00,15.73,590.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jsdata?-970,1,83,83,83,0.00,0.000%,12.04819,5.64,23.11,479.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /Scripts/i/Freedom.Full.min.js-971,1,94,94,94,0.00,0.000%,10.63830,329.88,4.31,31753.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?v=1&_v=j98&a=1952278664&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dtop&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dtop&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=1306x416&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667247510.2&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247510617&_u=AAECAEABSAAAiCAAI~&jid=&gjid=&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_slc=1&cd16=undefined&cd17=undefined&z=1653266821-972,1,64,64,64,0.00,0.000%,15.62500,9.51,18.01,623.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /114782.ct.js-973,1,31,31,31,0.00,100.000%,32.25806,48.17,0.00,1529.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /js/loadbee_integration.js-974,1,20,20,20,0.00,0.000%,50.00000,556.59,19.68,11399.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frame-image-br/bg.png-975,1,24,24,24,0.00,0.000%,41.66667,21.00,23.48,516.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jsdata?-980,1,20,20,20,0.00,0.000%,50.00000,23.39,95.90,479.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /p/action/4033370.js-978,1,136,136,136,0.00,0.000%,7.35294,5.41,2.83,753.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /action/0-979,1,142,142,142,0.00,0.000%,7.04225,5.61,5.25,816.0
