Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /p/action/4033370.js-978,1,137,137,137,0.00,0.000%,7.29927,5.37,2.81,753.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /action/0-979,1,135,135,135,0.00,0.000%,7.40741,5.90,5.53,816.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /box/CheckActiveAccount-976,1,139,139,139,0.00,0.000%,7.19424,3.08,3.09,438.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jsdata?-986,1,20,20,20,0.00,0.000%,50.00000,23.39,95.75,479.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /action/0-984,1,135,135,135,0.00,0.000%,7.40741,5.90,5.53,816.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /p/action/4033370.js-985,1,134,134,134,0.00,0.000%,7.46269,5.49,2.87,753.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /box/CheckActiveAccount-977,1,146,146,146,0.00,0.000%,6.84932,2.93,2.94,438.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /__utm.gif-987,1,14,14,14,0.00,0.000%,71.42857,41.99,71.36,602.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /box/GetInitialData-981,1,139,139,139,0.00,0.000%,7.19424,14.20,5.02,2021.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/createSession-983,1,145,145,145,0.00,0.000%,6.89655,4.21,3.15,625.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /__utm.gif-988,1,16,16,16,0.00,0.000%,62.50000,36.74,62.32,602.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/acquireConsumer-982,1,139,139,139,0.00,0.000%,7.19424,4.44,3.30,632.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /-920,1,5833,5833,5833,0.00,100.000%,.17144,0.35,0.00,2095.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /114782.ct.js-989,1,37,37,37,0.00,100.000%,27.02703,40.36,0.00,1529.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /js/loadbee_integration.js-990,1,26,26,26,0.00,0.000%,38.46154,428.15,15.14,11399.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gtag/js-991,1,168,168,168,0.00,0.000%,5.95238,450.86,2.48,77562.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v/t51.29350-15/313019350_1303795630437184_5463385535126360802_n.jpg-996,1,84,84,84,0.00,100.000%,11.90476,8.78,7.74,755.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v/t51.2885-15/312377648_197416906185651_1987953777437359524_n.jpg-995,1,21,21,21,0.00,100.000%,47.61905,35.11,30.88,755.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v/t51.29350-15/313088520_3189446624719205_3615256122351228154_n.jpg-993,1,21,21,21,0.00,100.000%,47.61905,35.11,34.46,755.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /oct.js-998,1,114,114,114,0.00,0.000%,8.77193,136.32,3.35,15914.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v/t51.2885-15/312938618_135049965970775_8172908251565877833_n.jpg-997,1,21,21,21,0.00,100.000%,47.61905,35.11,30.88,755.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v/t51.2885-15/313184957_671450081052796_7666525679040528435_n.jpg-992,1,21,21,21,0.00,100.000%,47.61905,35.11,30.88,755.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v/t51.2885-15/312995201_1280233299421863_4018718480888508486_n.jpg-994,1,21,21,21,0.00,100.000%,47.61905,35.11,30.92,755.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /nr-spa-1216.min.js-1,000",1,72,72,72,0.00,0.000%,13.88889,256.85,5.45,18937.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /p/action/4033370.js-999,1,157,157,157,0.00,0.000%,6.36943,4.68,2.45,753.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /oct.js-1,003",1,36,36,36,0.00,0.000%,27.77778,431.69,10.61,15914.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /action/0-1,001",1,134,134,134,0.00,0.000%,7.46269,5.95,5.56,816.0
